message,label
"Congratulations! You have been selected to win a FREE iPhone. Click here now to claim your prize!",spam
"URGENT: Your bank account has been suspended. Verify your details immediately at http://secure-bank-login.xyz",spam
"You have won $1000000 in our lottery! Send your bank account details to claim your reward.",spam
"Limited time offer! Buy now and get 90% discount. Click the link below before it expires!",spam
"Dear friend I am a Nigerian prince and I need your help to transfer 10 million dollars. You will get 30%.",spam
"FREE gift card! You have been chosen for an exclusive reward. Act now before it expires!",spam
"Your PayPal account has suspicious activity. Confirm your identity at http://paypa1.com.verify-now.xyz",spam
"Win a brand new car! You are our lucky winner today. Click to claim before midnight!",spam
"Earn 500 dollars per day working from home! No experience needed. Limited spots available. Sign up now!",spam
"Your password has expired. Click here urgently to reset your account or it will be deleted.",spam
"MAKE MONEY FAST! Our proven system guarantees 10000 per month. Join thousands of happy members!",spam
"You owe taxes. Pay immediately to avoid arrest. Call this number now.",spam
"Hi team the meeting for tomorrow has been moved to 3pm. Please update your calendars.",ham
"Please find attached the quarterly report for your review. Let me know if you have any questions.",ham
"Hey are we still on for lunch on Friday? Let me know if the time works for you.",ham
"Following up on our conversation from last week regarding the project timeline.",ham
"Good morning! Just a reminder that the deadline for submissions is this Thursday.",ham
"I hope this email finds you well. I wanted to check in on the status of the proposal.",ham
"Thanks for your help yesterday. The issue has been resolved and everything is working fine now.",ham
"Could you please send me the updated version of the document when you get a chance?",ham
"The conference call is scheduled for 10am on Monday. Dial-in details will be sent separately.",ham
"Happy birthday! Hope you have a wonderful day and enjoy the celebration with your family.",ham
"Regarding your recent inquiry we have reviewed your application and will get back to you shortly.",ham
"Just checking in to see if you received my previous email. Please let me know your availability.",ham
